	AUC	Accuracy	Precision	Recall	validation	outer_split	vector_size
12	0.5111061266169296	0.5507251771993568	0.2904045187360554	0.4214190450786876	test	1	125, 100, 75, 50, 25, 5
13	0.5144197824245836	0.5569048186312466	0.2936612930776445	0.41824486529741267	test	1	125, 100, 75, 50, 25, 5
14	0.5370214548795503	0.49482548096968254	0.3048699456183561	0.6325420112029874	test	1	125, 100, 75, 50, 25, 5
15	0.5085643938271306	0.5480150693906725	0.28777273022036187	0.4192584689250467	test	1	125, 100, 75, 50, 25, 5
16	0.5091655866929273	0.5461835130144738	0.2880669195777557	0.42536676447052546	test	1	125, 100, 75, 50, 25, 5
17	0.5369375716801696	0.494810590267437	0.3048169651007	0.6323019471859163	test	1	125, 100, 75, 50, 25, 5
18	0.5115375323430805	0.5668890344868664	0.29187688466594525	0.3862363296879167	test	1	125, 100, 75, 50, 25, 5
19	0.5103204176557071	0.5458335815117041	0.2891193986273825	0.42992798079487865	test	1	125, 100, 75, 50, 25, 5
20	0.5370880495180307	0.49728989219131575	0.3051530105457534	0.6271805814883968	test	1	125, 100, 75, 50, 25, 5
21	0.5083060084260406	0.5416567395318364	0.2871464448523134	0.4328087489997333	test	1	125, 100, 75, 50, 25, 5
22	0.5126440451460457	0.5471216272559414	0.29134625838511	0.43459589223793016	test	1	125, 100, 75, 50, 25, 5
23	0.5362620155498257	0.49545089046399426	0.30446328806565814	0.6286476393704987	test	1	125, 100, 75, 50, 25, 5
24	0.506355589324381	0.5574855560188219	0.2858413093634082	0.39061082955454784	test	1	125, 100, 75, 50, 25, 5
25	0.5101139877480234	0.5432500446721067	0.2887482360555158	0.4351026940517471	test	1	125, 100, 75, 50, 25, 5
26	0.5366312722674419	0.4946989100005956	0.30461742624472393	0.631555081355028	test	1	125, 100, 75, 50, 25, 5
0	0.9311016271005601	0.9311016271005601	0.9333502292058495	0.9283542277940784	train	1	125, 100, 75, 50, 25, 5
1	0.9096292344625234	0.9096292344625233	0.9148525051396588	0.9033342224593225	train	1	125, 100, 75, 50, 25, 5
2	0.5690717524673247	0.5690717524673246	0.5566229520946891	0.6771138970392105	train	1	125, 100, 75, 50, 25, 5
3	0.9393438250200052	0.9393438250200054	0.9400998302865037	0.9387570018671645	train	1	125, 100, 75, 50, 25, 5
4	0.914310482795412	0.914310482795412	0.9064789368809734	0.9239263803680982	train	1	125, 100, 75, 50, 25, 5
5	0.5758468925046679	0.5758468925046679	0.5621647964594421	0.6832488663643639	train	1	125, 100, 75, 50, 25, 5
6	0.9287143238196853	0.9287143238196852	0.9324802638928946	0.9242197919445185	train	1	125, 100, 75, 50, 25, 5
7	0.9094158442251268	0.9094158442251267	0.8975290399630251	0.9246465724193118	train	1	125, 100, 75, 50, 25, 5
8	0.5754601226993865	0.5754601226993865	0.5618219019589669	0.6829821285676181	train	1	125, 100, 75, 50, 25, 5
9	0.9426780474793277	0.9426780474793278	0.9308194152480243	0.9564683915710857	train	1	125, 100, 75, 50, 25, 5
10	0.9107495332088557	0.9107495332088558	0.9086728572220868	0.9132568684982663	train	1	125, 100, 75, 50, 25, 5
